"SuccessRateMapCode","SuccessRateMapCodeDesc","SuccessRateMapCodeDesc2","EffectiveFrom","EffectiveTo"
"B1020069","GCSE in Ancient History","GCSE in Anc Hist","11 Dec 2008",""
"B1030059","GCE A Level Archaeology","GCE A Lev Arch","24 Jul 2006",""
"B1030060","GCE A Level Humanities/General Studies/Combined Studies","GCE A Lev Hmnt/ Gen Stud/ Cmbn Stud","24 Jul 2006",""
"B1030061","GCE A Level Classical Studies","GCE A Lev Class Stud","24 Jul 2006",""
"B1030062","GCE A Level Economic & Social History","GCE A Lev Econ & Soc Hist","24 Jul 2006",""
"B1030064","GCE A Level Ancient History","GCE A Lev Anc Hist","24 Jul 2006",""
"B1030065","GCE A Level History","GCE A Lev Hist","24 Jul 2006",""
"B1030066","GCE A Level General Studies","GCE A Lev Gen Stud","24 Jul 2006",""
"B1030067","GCE A Level Philosophy","GCE A Lev Phil","24 Jul 2006",""
"B1030068","GCE A Level Religious Studies","GCE A Lev Rel Stud","24 Jul 2006",""
"B1030069","GCE A2 Level Ancient History","GCE A2 Lev Anc Hist","24 Jul 2006",""
"B1030070","GCE A2 Level Archaeology","GCE A2 Lev Arch","24 Jul 2006",""
"B1030071","GCE A2 Level Classical Civilisation","GCE A2 Lev Class Civilisation","24 Jul 2006",""
"B1030072","GCE A2 Level Critical Thinking","GCE A2 Lev Critical Thnk","24 Jul 2006",""
"B1030073","GCE A2 Level General Studies","GCE A2 Lev Gen Stud","24 Jul 2006",""
"B1030074","GCE A2 Level History","GCE A2 Lev Hist","24 Jul 2006",""
"B1030075","GCE A2 Level Philosophy","GCE A2 Lev Phil","24 Jul 2006",""
"B1030076","GCE A2 Level Religious Studies","GCE A2 Lev Rel Stud","24 Jul 2006",""
"B1030077","GCE AS Level Archaeology","GCE AS Lev Arch","24 Jul 2006",""
"B1030080","GCE AS Level Critical Thinking","GCE AS Lev Critical Thnk","24 Jul 2006",""
"B1030081","GCE AS Level History","GCE AS Lev Hist","24 Jul 2006",""
"B1030082","GCE AS Level Ancient History","GCE AS Lev Anc Hist","24 Jul 2006",""
"B1030083","GCE AS Level General Studies","GCE AS Lev Gen Stud","24 Jul 2006",""
"B1030086","GCE AS Level Philosophy","GCE AS Lev Phil","24 Jul 2006",""
"B1030087","GCE AS Level Religious Studies","GCE AS Lev Rel Stud","24 Jul 2006",""
"B1030119","GCE A Level in Critical Thinking","GCE A Lev in Critical Thnk","24 Jul 2006",""
"B1110039","Foundation Diploma in Humanities and Social Sciences (14-19 Diploma)","Fnd Dip Hmnt & Soc Scis (14-19 Dip)","01 Nov 2010",""
"B1110040","Principal Learning in Humanities and Social Sciences (14-19 Diploma)","Principal Lrn in Hmnt & Soc Scis (14-19 Dip)","01 Nov 2010",""
"B1120014","GCSE British Industrial Society","GCSE Brit Ind Soc","24 Jul 2006",""
"B1120015","GCSE Cultural/Area/Social/Diaspora Studies","GCSE Cult/ Area/ Soc/ Diaspora Stud","24 Jul 2006",""
"B1120016","GCSE Economics","GCSE Econ","24 Jul 2006",""
"B1120017","GCSE Geography","GCSE Geog","24 Jul 2006",""
"B1120018","GCSE Politics","GCSE Pol","24 Jul 2006",""
"B1120019","GCSE Humanities","GCSE Hmnt","24 Jul 2006",""
"B1120020","GCSE Land And Sea Surveying/Cartography","GCSE Land & Sea Srvy/ CartoGrphy","24 Jul 2006",""
"B1120021","GCSE Government; Politics and Law","GCSE Gov; Pol & Law","24 Jul 2006",""
"B1120023","GCSE Social Science","GCSE Soc Sci","24 Jul 2006",""
"B1120024","GCSE Community Studies","GCSE Comm Stud","24 Jul 2006",""
"B1120025","GCSE Sociology","GCSE Sociology","24 Jul 2006",""
"B1120027","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B1120053","GCSE Business in Society (30465)","GCSE Bus in Soc (30465)","24 Jul 2006",""
"B1120054","GCSE Commerce and Government","GCSE Comm & Gov","24 Jul 2006",""
"B1120055","GCSE Community and Business Studies (Nth)","GCSE Comm & Bus Stud (Nth)","24 Jul 2006",""
"B1120056","GCSE Community Issues","GCSE Comm Issues","24 Jul 2006",""
"B1120060","GCSE Geography and History","GCSE Geog & Hist","24 Jul 2006",""
"B1120064","GCSE Industrial Society","GCSE Ind Soc","24 Jul 2006",""
"B1120067","GCSE Marine Studies","GCSE Marine Stud","24 Jul 2006",""
"B1120068","GCSE People and Society","GCSE Pple & Soc","24 Jul 2006",""
"B1120071","GCSE World Development","GCSE World Dev","24 Jul 2006",""
"B1120084","Higher Diploma in Humanities and Social Sciences (14-19 Diploma)","Hi Dip Hmnt & Soc Scis (14-19 Dip)","01 Nov 2010",""
"B1120085","Principal Learning in Humanities and Social Sciences (14-19 Diploma)","Principal Lrn in Hmnt & Soc Scis (14-19 Dip)","01 Nov 2010",""
"B1130071","GCE A Level Cultural/Area/Social/Diaspora Studies","GCE A Lev Cult/ Area/ Soc/ Diaspora Stud","24 Jul 2006",""
"B1130072","GCE A Level Economics","GCE A Lev Econ","24 Jul 2006",""
"B1130073","GCE A Level Geography","GCE A Lev Geog","24 Jul 2006",""
"B1130074","GCE A Level Government & Politics","GCE A Lev Gov & Pol","24 Jul 2006",""
"B1130075","GCE A Level Land And Sea Surveying/Cartography","GCE A Lev Land & Sea Srvy/ CartoGrphy","24 Jul 2006",""
"B1130076","GCE A Level Industrial Studies","GCE A Lev Ind Stud","24 Jul 2006",""
"B1130078","GCE A Level Sociology","GCE A Lev Sociology","24 Jul 2006",""
"B1130079","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B1130080","GCE A2 Level Economics","GCE A2 Lev Econ","24 Jul 2006",""
"B1130081","GCE A2 Level Geography","GCE A2 Lev Geog","24 Jul 2006",""
"B1130082","GCE A2 Level Government & Politics","GCE A2 Lev Gov & Pol","24 Jul 2006",""
"B1130083","GCE A2 Level Social Policy","GCE A2 Lev Soc Policy","24 Jul 2006",""
"B1130085","GCE A2 Level Sociology","GCE A2 Lev Sociology","24 Jul 2006",""
"B1130087","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B1130088","GCE AS Level Cultural/Area/Social/Diaspora Studies","GCE AS Lev Cult/ Area/ Soc/ Diaspora Stud","24 Jul 2006",""
"B1130089","GCE AS Level Economics","GCE AS Lev Econ","24 Jul 2006",""
"B1130090","GCE AS Level Geography","GCE AS Lev Geog","24 Jul 2006",""
"B1130091","GCE AS Level Government & Politics","GCE AS Lev Gov & Pol","24 Jul 2006",""
"B1130092","GCE AS Level Land And Sea Surveying/Cartography","GCE AS Lev Land & Sea Srvy/ CartoGrphy","24 Jul 2006",""
"B1130093","GCE AS Level Science and Technology in Society","GCE AS Lev Sci & Tech in Soc","24 Jul 2006",""
"B1130094","GCE AS Level Social Science and Citizenship","GCE AS Lev Soc Sci & Citizenship","24 Jul 2006",""
"B1130096","GCE AS Level Industrial Studies","GCE AS Lev Ind Stud","24 Jul 2006",""
"B1130097","GCE AS Level Sociology","GCE AS Lev Sociology","24 Jul 2006",""
"B1130099","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B1130158","GCE A Level in Sociology","GCE A Lev in Sociology","24 Jul 2006",""
"B1130159","GCE A Level in World Development","GCE A Lev in World Dev","24 Jul 2006",""
"B1130160","GCE A Level International Sociology","GCE A Lev Int Sociology","24 Jul 2006",""
"B1130161","GCE AS Level in Sociology","GCE AS Lev in Sociology","24 Jul 2006",""
"B1130162","GCE AS Level in World Development","GCE AS Lev in World Dev","24 Jul 2006",""
"B1130163","GCE AS Level Industrial Social and Personal Studies","GCE AS Lev Ind Soc & Pers Stud","24 Jul 2006",""
"B1130167","GCE A Level in Citizenship Studies","GCE A Lev in Citizenship Stud","11 Dec 2008",""
"B1130168","GCE AS Level in Citizenship Studies","GCE AS Lev in Citizenship Stud","11 Dec 2008",""
"B1130169","GCE A Level in Economics and Business","GCE A Lev in Econ & Bus","11 Dec 2008",""
"B1130170","GCE AS Level in Economics and Business","GCE AS Lev in Econ & Bus","11 Dec 2008",""
"B1130171","GCE A2 Level in Citizenship Studies","GCE A2 Lev in Citizenship Stud","11 Sep 2009",""
"B1130172","Advanced Diploma in Humanities and Social Sciences (14-19 Diploma)","Adv Dip Hmnt & Soc Scis (14-19 Dip)","01 Nov 2010",""
"B1130173","Progression Diploma in Humanities and Social Sciences (14-19 Diploma)","Prg Dip Hmnt & Soc Scis (14-19 Dip)","01 Nov 2010",""
"B1130174","Principal Learning in Humanities and Social Sciences (14-19 Diploma)","Principal Lrn in Hmnt & Soc Scis (14-19 Dip)","01 Nov 2010",""
"B1130175","GCE AS Level in Anthropology","GCE AS Lev in Anthrplgy","01 Aug 2010",""
"B1130176","GCE A Level in Anthropology","GCE A Lev in Anthrplgy","01 Aug 2010",""
"B1130177","GCE A2 Level in Anthropology","GCE A2 Lev in Anthrplgy","01 Aug 2010",""
"B1130178","GCE AS Level in Humanities","GCE AS Lev in Hmnt","01 Jul 2012",""
"B1130179","GCE A Level in Humanities","GCE A Lev in Hmnt","01 Jul 2012",""
"B1130180","GCE A Level Politics","","01 Aug 2016",""
"B1130181","GCE AS Level Politics","","01 Aug 2016",""
"B1210526","Foundation Diploma in Langauages and International Communication (14-19 Diploma)","Fnd Dip Langauages & Int Comm (14-19 Dip)","01 Nov 2010",""
"B1210527","Principal Learning in Langauages and International Communication (14-19 Diploma)","Principal Lrn in Langauages & Int Comm (14-19 Dip)","01 Nov 2010",""
"B1220071","English for Business Communications - Level 2","Eng for Bus Comms Lev 2","24 Jul 2006",""
"B1220110","GCSE French Studies","GCSE French Stud","24 Jul 2006",""
"B1220114","GCSE Turkish","GCSE Turkish","24 Jul 2006",""
"B1220115","GCSE Biblical Hebrew","GCSE Biblical Hebrew","24 Jul 2006",""
"B1220116","GCSE African Languages","GCSE African Lang","24 Jul 2006",""
"B1220117","GCSE Altaic Languages","GCSE Altaic Lang","24 Jul 2006",""
"B1220118","GCSE American Studies","GCSE Amer Stud","24 Jul 2006",""
"B1220119","GCSE Americas: Languages","GCSE Americas Lang","24 Jul 2006",""
"B1220120","GCSE Arabic","GCSE Arabic","24 Jul 2006",""
"B1220121","GCSE Armenian Languages","GCSE Armenian Lang","24 Jul 2006",""
"B1220122","GCSE Asian Languages: General","GCSE Asian Lang Gen","24 Jul 2006",""
"B1220123","GCSE Australasian And Austronesian Languages","GCSE Australn & Austronn Lang","24 Jul 2006",""
"B1220124","GCSE Bengali","GCSE Bengali","24 Jul 2006",""
"B1220125","GCSE Biblical Hebrew","GCSE Biblical Hebrew","24 Jul 2006",""
"B1220126","GCSE Catalan Language","GCSE Catalan Lang","24 Jul 2006",""
"B1220127","GCSE Celtic/Basque Languages","GCSE Celtic/ Basque Lang","24 Jul 2006",""
"B1220128","GCSE Chinese","GCSE Chinese","24 Jul 2006",""
"B1220129","GCSE Classical Civilisation","GCSE Class Civilisation","24 Jul 2006",""
"B1220130","GCSE Classical Greek","GCSE Class Greek","24 Jul 2006",""
"B1220131","GCSE Cornish","GCSE Cornish","24 Jul 2006",""
"B1220132","GCSE European Studies","GCSE Euro Stud","24 Jul 2006",""
"B1220133","GCSE Culture/Gender/Folklore","GCSE Cult/ Gender/ Folklore","24 Jul 2006",""
"B1220134","GCSE Czech Languages","GCSE Czech Lang","24 Jul 2006",""
"B1220135","GCSE Danish","GCSE Danish","24 Jul 2006",""
"B1220136","GCSE Dutch","GCSE Dutch","24 Jul 2006",""
"B1220137","GCSE English","GCSE Eng","24 Jul 2006",""
"B1220138","GCSE English Literature","GCSE Eng Lit","24 Jul 2006",""
"B1220139","GCSE Esperanto","GCSE Esperanto","24 Jul 2006",""
"B1220140","GCSE Urdu","GCSE Urdu","24 Jul 2006",""
"B1220141","GCSE Far Eastern Language","GCSE Far Eastern Lang","24 Jul 2006",""
"B1220142","GCSE Frisian Language","GCSE Frisian Lang","24 Jul 2006",""
"B1220143","GCSE French","GCSE French","24 Jul 2006",""
"B1220144","GCSE German","GCSE German","24 Jul 2006",""
"B1220145","GCSE Greek","GCSE Greek","24 Jul 2006",""
"B1220146","GCSE Gujarati","GCSE Gujarati","24 Jul 2006",""
"B1220147","GCSE Hindi","GCSE Hindi","24 Jul 2006",""
"B1220148","GCSE Punjabi","GCSE Punjabi","24 Jul 2006",""
"B1220149","GCSE Indic/Dravidian Languages","GCSE Indic/ Dravidian Lang","24 Jul 2006",""
"B1220150","GCSE International Artificial Languages","GCSE Int Artificial Lang","24 Jul 2006",""
"B1220151","GCSE Italian","GCSE Italian","24 Jul 2006",""
"B1220152","GCSE Japanese","GCSE Japanese","24 Jul 2006",""
"B1220153","GCSE Language Studies (General)","GCSE Lang Stud (Gen)","24 Jul 2006",""
"B1220154","GCSE Latin","GCSE Latin","24 Jul 2006",""
"B1220155","GCSE Linguistic Studies","GCSE Ling Stud","24 Jul 2006",""
"B1220156","GCSE Lithuanian Languages","GCSE Lithuanian Lang","24 Jul 2006",""
"B1220157","GCSE Malay","GCSE Malay","24 Jul 2006",""
"B1220158","GCSE Maltese","GCSE Maltese","24 Jul 2006",""
"B1220159","GCSE Middle East Languages","GCSE Mid E Lang","24 Jul 2006",""
"B1220160","GCSE Modern Greek","GCSE Mdm Greek","24 Jul 2006",""
"B1220162","GCSE Moldavian Language","GCSE Moldavian Lang","24 Jul 2006",""
"B1220163","GCSE Nordic (North Germanic) Languages","GCSE Nordic (North Germanic) Lang","24 Jul 2006",""
"B1220164","GCSE Norwegian","GCSE Norwegian","24 Jul 2006",""
"B1220165","GCSE Panjabi","GCSE Panjabi","24 Jul 2006",""
"B1220166","GCSE Persian","GCSE Persian","24 Jul 2006",""
"B1220167","GCSE Polish","GCSE Polish","24 Jul 2006",""
"B1220168","GCSE Portuguese","GCSE Portuguese","24 Jul 2006",""
"B1220170","GCSE Rhaetian Languages","GCSE Rhaetian Lang","24 Jul 2006",""
"B1220171","GCSE Romanian Language","GCSE Romanian Lang","24 Jul 2006",""
"B1220172","GCSE Romany Languages","GCSE Romany Lang","24 Jul 2006",""
"B1220173","GCSE Russian","GCSE Russ","24 Jul 2006",""
"B1220174","GCSE Sanskrit","GCSE Sanskrit","24 Jul 2006",""
"B1220175","GCSE South East Asian Languages","GCSE S E Asian Lang","24 Jul 2006",""
"B1220176","GCSE South Slavic Languages","GCSE S Slavic Lang","24 Jul 2006",""
"B1220177","GCSE Spanish","GCSE Spanish","24 Jul 2006",""
"B1220178","GCSE Sri Lankan","GCSE Sri Lankan","24 Jul 2006",""
"B1220179","GCSE Swedish","GCSE Swedish","24 Jul 2006",""
"B1220180","GCSE Tibetan/Burmese/Himalayan Languages","GCSE Tibetan/ Burmese/ Hmlyn Lang","24 Jul 2006",""
"B1220181","GCSE Turkish","GCSE Turkish","24 Jul 2006",""
"B1220182","GCSE Ukrainian (Ruthenian/Little Russian) Language","GCSE Ukrain (Ruthn/ Lit Russ) Lang","24 Jul 2006",""
"B1220183","GCSE Uralian/Caucasian Languages","GCSE Uralian/ Caucasian Lang","24 Jul 2006",""
"B1220184","GCSE Urdu","GCSE Urdu","24 Jul 2006",""
"B1220185","GCSE Welsh","GCSE Welsh","24 Jul 2006",""
"B1220186","GCSE Welsh Literature","GCSE Welsh Lit","24 Jul 2006",""
"B1220188","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B1220334","GCSE Islamiyat (Pakistan)","GCSE Islamiyat (Pakistan)","24 Jul 2006",""
"B1220336","GCSE Language and Tourism","GCSE Lang & Tour","24 Jul 2006",""
"B1220337","GCSE Modern Britain","GCSE Mdm Brit","24 Jul 2006",""
"B1220338","GCSE Modern Studies","GCSE Mdm Stud","24 Jul 2006",""
"B1220339","GCSE Pakistan Studies","GCSE Pakistan Stud","24 Jul 2006",""
"B1220340","GCSE Tamil","GCSE Tamil","24 Jul 2006",""
"B1220341","GCSE Ukrainian","GCSE Ukrain","24 Jul 2006",""
"B1220342","GCSE Vietnamese","GCSE Vietnamese","24 Jul 2006",""
"B1220343","GCSE Welsh Heritage","GCSE Welsh Hrtg","24 Jul 2006",""
"B1220395","GCSE in Irish","GCSE in Irish","11 Dec 2008",""
"B1220396","GCSE in Modern Hebrew","GCSE in Mdm Hebrew","11 Dec 2008",""
"B1220397","GCSE in TGAU Cymraeg Ail laith (Cwrs Byr)","GCSE in TGAU Cymraeg Ail laith (Cwrs Byr)","11 Sep 2009",""
"B1220398","GCSE in TGAU mewn Cymraeg Ail laith","GCSE in TGAU mewn Cymraeg Ail laith","11 Sep 2009",""
"B1220399","Higher Diploma in Langauages and International Communication (14-19 Diploma)","Hi Dip Langauages & Int Comm (14-19 Dip)","01 Nov 2010",""
"B1220400","Principal Learning in Langauages and International Communication (14-19 Diploma)","Principal Lrn in Langauages & Int Comm (14-19 Dip)","01 Nov 2010",""
"B1220401","GCSE in Digital Communication","GCSE in Dgtl Comm","01 Aug 2010",""
"B1220402","GCSE in Gaeilge","GCSE in Gaeilge","01 Aug 2010",""
"B1230118","GCE A Level Swahili","GCE A Lev Swahili","24 Jul 2006",""
"B1230119","GCE A Level Afrikaans","GCE A Lev Afrikaans","24 Jul 2006",""
"B1230120","GCE A Level Altaic Languages","GCE A Lev Altaic Lang","24 Jul 2006",""
"B1230121","GCE A Level Americas: Languages","GCE A Lev Americas Lang","24 Jul 2006",""
"B1230122","GCE A Level Arabic","GCE A Lev Arabic","24 Jul 2006",""
"B1230123","GCE A Level Armenian Languages","GCE A Lev Armenian Lang","24 Jul 2006",""
"B1230124","GCE A Level Asian Languages: General","GCE A Lev Asian Lang Gen","24 Jul 2006",""
"B1230125","GCE A Level Australasian And Austronesian Languages","GCE A Lev Australn & Austronn Lang","24 Jul 2006",""
"B1230126","GCE A Level Bengali","GCE A Lev Bengali","24 Jul 2006",""
"B1230127","GCE A Level Biblical Hebrew","GCE A Lev Biblical Hebrew","24 Jul 2006",""
"B1230128","GCE A Level Bulgarian","GCE A Lev Bulgarian","24 Jul 2006",""
"B1230129","GCE A Level Catalan Language","GCE A Lev Catalan Lang","24 Jul 2006",""
"B1230130","GCE A Level Celtic/Basque Languages","GCE A Lev Celtic/ Basque Lang","24 Jul 2006",""
"B1230131","GCE A Level Chinese","GCE A Lev Chinese","24 Jul 2006",""
"B1230132","GCE A Level Classical Armenian","GCE A Lev Class Armenian","24 Jul 2006",""
"B1230133","GCE A Level Classical Greek","GCE A Lev Class Greek","24 Jul 2006",""
"B1230134","GCE A Level Classical Persian","GCE A Lev Class Persian","24 Jul 2006",""
"B1230135","GCE A Level Classical Studies","GCE A Lev Class Stud","24 Jul 2006",""
"B1230136","GCE A Level Cultural/Area/Social/Diaspora Studies","GCE A Lev Cult/ Area/ Soc/ Diaspora Stud","24 Jul 2006",""
"B1230137","GCE A Level Culture/Gender/Folklore","GCE A Lev Cult/ Gender/ Folklore","24 Jul 2006",""
"B1230138","GCE A Level Czech Languages","GCE A Lev Czech Lang","24 Jul 2006",""
"B1230139","GCE A Level Danish","GCE A Lev Danish","24 Jul 2006",""
"B1230140","GCE A Level Dutch","GCE A Lev Dutch","24 Jul 2006",""
"B1230141","GCE A Level English","GCE A Lev Eng","24 Jul 2006",""
"B1230142","GCE A Level English Language & Literature","GCE A Lev Eng Lang & Lit","24 Jul 2006",""
"B1230143","GCE A Level English Literature","GCE A Lev Eng Lit","24 Jul 2006",""
"B1230144","GCE A Level Europe: Languages: General/Business","GCE A Lev Euro Lang Gen/ Bus","24 Jul 2006",""
"B1230145","GCE A Level Far Eastern Languages","GCE A Lev Far Eastern Lang","24 Jul 2006",""
"B1230146","GCE A Level French","GCE A Lev French","24 Jul 2006",""
"B1230147","GCE A Level Frisian Language","GCE A Lev Frisian Lang","24 Jul 2006",""
"B1230148","GCE A Level German","GCE A Lev German","24 Jul 2006",""
"B1230149","GCE A Level Greek Language","GCE A Lev Greek Lang","24 Jul 2006",""
"B1230150","GCE A Level Gujarati","GCE A Lev Gujarati","24 Jul 2006",""
"B1230151","GCE A Level Modern Hebrew","GCE A Lev Mdm Hebrew","24 Jul 2006",""
"B1230152","GCE A Level Hindi","GCE A Lev Hindi","24 Jul 2006",""
"B1230154","GCE A Level Hungarian","GCE A Lev Hungarian","24 Jul 2006",""
"B1230155","GCE A Level Hungarian","GCE A Lev Hungarian","24 Jul 2006",""
"B1230156","GCE A Level Indic/Dravidian Languages","GCE A Lev Indic/ Dravidian Lang","24 Jul 2006",""
"B1230157","GCE A Level International Artificial Languages","GCE A Lev Int Artificial Lang","24 Jul 2006",""
"B1230158","GCE A Level Irish","GCE A Lev Irish","24 Jul 2006",""
"B1230159","GCE A Level Italian","GCE A Lev Italian","24 Jul 2006",""
"B1230160","GCE A Level Japanese","GCE A Lev Japanese","24 Jul 2006",""
"B1230161","GCE A Level Language Studies (General)","GCE A Lev Lang Stud (Gen)","24 Jul 2006",""
"B1230162","GCE A Level Latin","GCE A Lev Latin","24 Jul 2006",""
"B1230164","GCE A Level Literature","GCE A Lev Lit","24 Jul 2006",""
"B1230165","GCE A Level Lithuanian Languages","GCE A Lev Lithuanian Lang","24 Jul 2006",""
"B1230166","GCE A Level Malayo-Polynesian/Indonesian Languages","GCE A Lev Malayo-Polyn/ Indo Lang","24 Jul 2006",""
"B1230167","GCE A Level Middle East Languages","GCE A Lev Mid E Lang","24 Jul 2006",""
"B1230168","GCE A Level Moldavian Language","GCE A Lev Moldavian Lang","24 Jul 2006",""
"B1230169","GCE A Level Ndebele","GCE A Lev Ndebele","24 Jul 2006",""
"B1230170","GCE A Level Nordic (North Germanic) Languages","GCE A Lev Nordic (North Germanic) Lang","24 Jul 2006",""
"B1230171","GCE A Level Norwegian","GCE A Lev Norwegian","24 Jul 2006",""
"B1230172","GCE A Level Persian","GCE A Lev Persian","24 Jul 2006",""
"B1230173","GCE A Level Polish","GCE A Lev Polish","24 Jul 2006",""
"B1230174","GCE A Level Portuguese","GCE A Lev Portuguese","24 Jul 2006",""
"B1230175","GCE A Level Punjabi","GCE A Lev Punjabi","24 Jul 2006",""
"B1230176","GCE A Level Rhaetian Languages","GCE A Lev Rhaetian Lang","24 Jul 2006",""
"B1230177","GCE A Level Romanian Language","GCE A Lev Romanian Lang","24 Jul 2006",""
"B1230178","GCE A Level Romany Languages","GCE A Lev Romany Lang","24 Jul 2006",""
"B1230179","GCE A Level Russian","GCE A Lev Russ","24 Jul 2006",""
"B1230180","GCE A Level Sanskrit","GCE A Lev Sanskrit","24 Jul 2006",""
"B1230181","GCE A Level Serbo-Croat","GCE A Lev Serbo-Croat","24 Jul 2006",""
"B1230182","GCE A Level Shona","GCE A Lev Shona","24 Jul 2006",""
"B1230183","GCE A Level South East Asian Languages","GCE A Lev S E Asian Lang","24 Jul 2006",""
"B1230184","GCE A Level South Slavic Languages","GCE A Lev S Slavic Lang","24 Jul 2006",""
"B1230185","GCE A Level Spanish","GCE A Lev Spanish","24 Jul 2006",""
"B1230186","GCE A Level Sri Lankan","GCE A Lev Sri Lankan","24 Jul 2006",""
"B1230187","GCE A Level Swedish","GCE A Lev Swedish","24 Jul 2006",""
"B1230188","GCE A Level Tamil (Mauritius)","GCE A Lev Tamil (Mauritius)","24 Jul 2006",""
"B1230189","GCE A Level Tibetan/Burmese/Himalayan Languages","GCE A Lev Tibetan/ Burmese/ Hmlyn Lang","24 Jul 2006",""
"B1230190","GCE A Level Turkish","GCE A Lev Turkish","24 Jul 2006",""
"B1230191","GCE A Level Ukrainian (Ruthenian/Little Russian) Language","GCE A Lev Ukrain (Ruthn/ Lit Russ) Lang","24 Jul 2006",""
"B1230192","GCE A Level Uralian/Caucasian Languages","GCE A Lev Uralian/ Caucasian Lang","24 Jul 2006",""
"B1230193","GCE A Level Urdu","GCE A Lev Urdu","24 Jul 2006",""
"B1230194","GCE A Level Welsh","GCE A Lev Welsh","24 Jul 2006",""
"B1230195","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B1230196","GCE A2 Level Arabic","GCE A2 Lev Arabic","24 Jul 2006",""
"B1230197","GCE A2 Level Bengali","GCE A2 Lev Bengali","24 Jul 2006",""
"B1230198","GCE A2 Level Chinese","GCE A2 Lev Chinese","24 Jul 2006",""
"B1230199","GCE A2 Level Classical Greek","GCE A2 Lev Class Greek","24 Jul 2006",""
"B1230200","GCE A2 Level Dutch","GCE A2 Lev Dutch","24 Jul 2006",""
"B1230201","GCE A2 Level English Language","GCE A2 Lev Eng Lang","24 Jul 2006",""
"B1230202","GCE A2 Level English Language & Literature","GCE A2 Lev Eng Lang & Lit","24 Jul 2006",""
"B1230203","GCE A2 Level English Literature","GCE A2 Lev Eng Lit","24 Jul 2006",""
"B1230204","GCE A2 Level European Studies","GCE A2 Lev Euro Stud","24 Jul 2006",""
"B1230205","GCE A2 Level French","GCE A2 Lev French","24 Jul 2006",""
"B1230206","GCE A2 Level German","GCE A2 Lev German","24 Jul 2006",""
"B1230207","GCE A2 Level Gujarati","GCE A2 Lev Gujarati","24 Jul 2006",""
"B1230208","GCE A2 Level Italian","GCE A2 Lev Italian","24 Jul 2006",""
"B1230209","GCE A2 Level Japanese","GCE A2 Lev Japanese","24 Jul 2006",""
"B1230210","GCE A2 Level Latin","GCE A2 Lev Latin","24 Jul 2006",""
"B1230211","GCE A2 Level Modern Greek","GCE A2 Lev Mdm Greek","24 Jul 2006",""
"B1230212","GCE A2 Level Modern Hebrew","GCE A2 Lev Mdm Hebrew","24 Jul 2006",""
"B1230213","GCE A2 Level Persian","GCE A2 Lev Persian","24 Jul 2006",""
"B1230214","GCE A2 Level Polish","GCE A2 Lev Polish","24 Jul 2006",""
"B1230215","GCE A2 Level Portuguese","GCE A2 Lev Portuguese","24 Jul 2006",""
"B1230216","GCE A2 Level Punjabi","GCE A2 Lev Punjabi","24 Jul 2006",""
"B1230217","GCE A2 Level Russian","GCE A2 Lev Russ","24 Jul 2006",""
"B1230218","GCE A2 Level Spanish","GCE A2 Lev Spanish","24 Jul 2006",""
"B1230219","GCE A2 Level Turkish","GCE A2 Lev Turkish","24 Jul 2006",""
"B1230220","GCE A2 Level Urdu","GCE A2 Lev Urdu","24 Jul 2006",""
"B1230221","GCE A2 Level Welsh","GCE A2 Lev Welsh","24 Jul 2006",""
"B1230222","GCE A Level Sinhala","GCE A Lev Sinhala","24 Jul 2006",""
"B1230223","GCE A2 Level","GCE A2 Lev","24 Jul 2006",""
"B1230224","GCE AS Level African Languages","GCE AS Lev African Lang","24 Jul 2006",""
"B1230225","GCE AS Level Altaic Languages","GCE AS Lev Altaic Lang","24 Jul 2006",""
"B1230226","GCE AS Level Americas: Languages","GCE AS Lev Americas Lang","24 Jul 2006",""
"B1230227","GCE AS Level Arabic","GCE AS Lev Arabic","24 Jul 2006",""
"B1230228","GCE AS Level Armenian Languages","GCE AS Lev Armenian Lang","24 Jul 2006",""
"B1230229","GCE AS Level Asian Languages: General","GCE AS Lev Asian Lang Gen","24 Jul 2006",""
"B1230230","GCE AS Level Australasian And Austronesian Languages","GCE AS Lev Australn & Austronn Lang","24 Jul 2006",""
"B1230231","GCE AS Level Bengali","GCE AS Lev Bengali","24 Jul 2006",""
"B1230232","GCE AS Level Biblical Hebrew","GCE AS Lev Biblical Hebrew","24 Jul 2006",""
"B1230233","GCE AS Level Catalan Language","GCE AS Lev Catalan Lang","24 Jul 2006",""
"B1230234","GCE AS Level Celtic/Basque Languages","GCE AS Lev Celtic/ Basque Lang","24 Jul 2006",""
"B1230235","GCE AS Level Chinese","GCE AS Lev Chinese","24 Jul 2006",""
"B1230237","GCE AS Level European Community (Oxford)","GCE AS Lev Euro Comm (Oxford)","24 Jul 2006",""
"B1230238","GCE AS Level Culture/Gender/Folklore","GCE AS Lev Cult/ Gender/ Folklore","24 Jul 2006",""
"B1230239","GCE AS Level Czech Languages","GCE AS Lev Czech Lang","24 Jul 2006",""
